State,District,2008,2009,2010,2011,2012,2013,2014,2015
MO,Blue Springs,9,1,7,13,7,10,2,15
MO,Center,0,1,0,1,0,1,0,0
MO,Clinton,6,2,0,0,0,0,0,0
MO,Excelsior Springs,1,2,4,5,7,0,2,0
MO,Fort Osage,2,2,0,1,5,7,8,3
MO,Grain Valley,1,2,2,0,3,0,0,1
MO,Grandview,4,5,15,6,9,8,13,6
MO,Hickman Mills,0,0,0,0,0,1,0,2
MO,Independence,13,19,3,20,0,6,5,2
MO,Kansas CIty Public Schools,8,5,3,0,2,2,2,1
MO,Kearney,2,0,2,0,0,0,4,1
MO,Lawson,1,0,0,0,1,0,4,1
MO,Lee's Summit,14,22,9,13,10,5,14,10
MO,Lone Jack,0,0,0,0,0,0,0,3
MO,North Kansas City,2,5,4,2,6,0,1,1
MO,North Platte,0,0,0,0,0,0,0,0
MO,Oak Grove,0,0,4,0,0,1,0,3
MO,Park Hill,3,17,4,8,3,2,1,16
MO,Platte,0,0,0,5,5,5,0,3
MO,Raytown,3,0,0,2,0,0,0,0
MO,Smithville,8,2,1,2,3,0,6,1
MO,West Platte,0,0,0,0,0,1,0,0
KS,Blue Valley Unified School District 229,36,0,0,0,23,0,20,0
KS,Bonner Springs Unified School District 204,0,0,0,0,0,0,0,0
KS,Gardner Edgerton Unified School District 231,0,0,0,0,0,0,0,0
KS,Kansas City Unified School District 500,0,0,0,0,0,0,0,0
KS,Shawnee Mission Public Schools Unified School District,28,25,15,35,16,19,26,35
KS,Spring Hill Unified School District 230,0,0,0,0,0,0,0,0
KS,Turner Unified School District 202,0,0,0,0,0,0,0,0
KS,Piper,0,0,0,0,0,0,0,0
KS,Olathe,30,20,18,0,0,17,0,0
KS,De Soto,0,0,0,0,0,0,0,0
