State,District,2008,2009,2010,2011,2012,2013,2014,2015
MO,Blue Springs,31,14,54,42,65,57,25,52
MO,Center,11,1,6,8,11,10,6,7
MO,Clinton,2,2,0,0,0,1,2,1
MO,Excelsior Springs,23,14,12,22,13,29,9,10
MO,Fort Osage,9,20,11,21,24,29,22,27
MO,Grain Valley,16,9,14,22,50,10,12,14
MO,Grandview,0,0,0,0,0,0,0,0
MO,Hickman Mills,1,5,7,5,17,1,25,11
MO,Independence,68,80,151,111,80,57,57,41
MO,Kansas CIty Public Schools,57,39,57,91,61,77,77,77
MO,Kearney,5,8,5,17,8,10,6,29
MO,Lawson,6,2,7,5,3,1,3,2
MO,Lee's Summit,72,83,86,68,72,32,49,45
MO,Lone Jack,0,1,1,1,0,0,2,1
MO,North Kansas City,61,26,45,40,36,33,20,13
MO,North Platte,0,0,0,0,0,1,0,0
MO,Oak Grove,2,14,19,11,24,5,6,10
MO,Park Hill,43,41,65,28,32,31,23,36
MO,Platte,10,6,4,7,8,10,7,11
MO,Raytown,27,14,10,18,5,5,6,10
MO,Smithville,9,4,6,3,17,8,3,18
MO,West Platte,0,1,0,0,0,2,2,0
KS,Blue Valley Unified School District 229,35,18,19,22,20,16,19,16
KS,Bonner Springs Unified School District 204,0,0,0,0,0,0,0,0
KS,Gardner Edgerton Unified School District 231,0,0,0,0,0,0,17,18
KS,Kansas City Unified School District 500,137,87,165,0,156,81,93,132
KS,Shawnee Mission Public Schools Unified School District,174,174,151,197,127,135,175,122
KS,Spring Hill Unified School District 230,0,0,0,0,0,0,0,0
KS,Turner Unified School District 202,0,24,35,0,25,19,16,17
KS,Piper,0,0,0,0,13,10,0,0
KS,Olathe,48,46,61,34,48,69,52,105
KS,De Soto,,0,0,0,0,18,13,0
