State,District,2008,2009,2010,2011,2012,2013,2014,2015
MO,Blue Springs,110,171,78,72,92,91,74,53
MO,Center,106,71,91,79,58,60,56,58
MO,Clinton,9,1,2,0,0,0,1,0
MO,Excelsior Springs,20,10,26,21,46,61,49,51
MO,Fort Osage,24,33,25,35,63,41,43,53
MO,Grain Valley,15,11,8,11,3,12,1,3
MO,Grandview,117,147,130,87,117,66,86,83
MO,Hickman Mills,86,80,102,119,111,56,324,267
MO,Independence,123,219,165,194,117,73,105,58
MO,Kansas CIty Public Schools,1541,1009,619,1170,942,1034,902,936
MO,Kearney,14,4,9,10,16,16,8,7
MO,Lawson,1,0,2,0,4,3,2,1
MO,Lee's Summit,95,123,104,89,51,48,57,50
MO,Lone Jack,3,0,0,0,0,1,0,0
MO,North Kansas City,168,98,41,70,27,55,43,79
MO,North Platte,0,1,2,1,3,1,1,0
MO,Oak Grove,9,18,4,12,3,18,10,6
MO,Park Hill,37,61,38,15,35,17,21,30
MO,Platte,10,15,16,6,6,8,6,2
MO,Raytown,228,177,235,193,61,53,53,67
MO,Smithville,4,5,0,3,4,4,6,8
MO,West Platte,0,0,1,0,0,0,0,0
KS,Blue Valley Unified School District 229,0,0,0,0,0,0,0,0
KS,Bonner Springs Unified School District 204,0,0,0,0,0,0,0,0
KS,Gardner Edgerton Unified School District 231,0,0,0,0,0,0,0,0
KS,Kansas City Unified School District 500,0,0,0,0,0,0,0,0
KS,Shawnee Mission Public Schools Unified School District,0,0,0,0,0,0,0,0
KS,Spring Hill Unified School District 230,0,0,0,0,0,0,0,0
KS,Turner Unified School District 202,0,0,0,0,0,0,0,0
KS,Piper,0,0,0,0,0,0,0,0
KS,Olathe,0,0,0,0,0,0,0,0
KS,De Soto,0,0,0,0,0,0,0,0
