State,District,2008,2009,2010,2011,2012,2013,2014,2015
MO,Blue Springs,5,0,0,0,0,0,0,0
MO,Center,0,0,0,0,1,0,0,0
MO,Clinton,0,0,0,0,0,0,0,0
MO,Excelsior Springs,0,0,0,0,1,0,0,0
MO,Fort Osage,0,1,2,0,2,0,0,1
MO,Grain Valley,2,0,0,0,0,0,0,1
MO,Grandview,0,0,2,0,0,0,0,0
MO,Hickman Mills,0,0,1,0,1,0,0,0
MO,Independence,1,7,1,7,6,2,5,0
MO,Kansas CIty Public Schools,2,1,0,1,0,3,1,0
MO,Kearney,0,0,0,0,1,0,0,1
MO,Lawson,0,0,0,0,0,0,0,0
MO,Lee's Summit,5,1,1,2,0,1,0,0
MO,Lone Jack,0,0,0,0,0,0,0,0
MO,North Kansas City,0,0,2,0,0,0,0,0
MO,North Platte,0,0,0,0,0,0,0,0
MO,Oak Grove,0,0,0,0,0,1,0,0
MO,Park Hill,2,2,1,0,0,0,0,0
MO,Platte,0,0,0,0,0,0,0,0
MO,Raytown,0,0,0,2,0,0,0,0
MO,Smithville,0,0,0,0,0,0,0,0
MO,West Platte,0,0,0,0,0,0,0,0
KS,Blue Valley Unified School District 229,0,0,0,0,0,0,0,0
KS,Bonner Springs Unified School District 204,0,0,0,0,0,0,0,0
KS,Gardner Edgerton Unified School District 231,0,0,0,0,0,0,0,0
KS,Kansas City Unified School District 500,0,0,0,0,0,0,0,0
KS,Shawnee Mission Public Schools Unified School District,0,0,0,0,0,0,0,0
KS,Spring Hill Unified School District 230,0,0,0,0,0,0,0,0
KS,Turner Unified School District 202,0,0,0,0,0,0,0,0
KS,Piper,0,0,0,0,0,0,0,0
KS,Olathe,0,0,0,0,0,0,0,0
KS,De Soto,0,0,0,0,0,0,0,0
