State,District,2008,2009,2010,2011,2012,2013,2014,2015
MO,Blue Springs,0,0,0,0,0,0,0,0
MO,Center,0,8,17,23,13,8,5,5
MO,Clinton,0,0,0,1,0,0,0,0
MO,Excelsior Springs,5,2,1,7,1,4,4,3
MO,Fort Osage,0,0,0,0,0,0,0,0
MO,Grain Valley,0,1,0,0,1,0,0,0
MO,Grandview,0,0,0,0,0,0,0,0
MO,Hickman Mills,141,117,137,111,111,109,170,121
MO,Independence,69,22,27,29,17,8,6,15
MO,Kansas CIty Public Schools,6,7,3,9,1,0,0,0
MO,Kearney,9,4,0,0,0,0,0,0
MO,Lawson,0,0,1,0,0,0,0,1
MO,Lee's Summit,12,26,26,14,23,14,0,0
MO,Lone Jack,0,0,0,0,0,0,0,0
MO,North Kansas City,8,6,6,2,6,8,4,2
MO,North Platte,0,0,0,0,0,0,0,0
MO,Oak Grove,0,2,0,0,0,1,0,0
MO,Park Hill,1,2,1,0,0,0,0,1
MO,Platte,3,3,3,1,5,3,1,1
MO,Raytown,1,5,0,0,0,0,0,0
MO,Smithville,0,0,0,0,0,0,0,0
MO,West Platte,0,0,0,0,0,1,0,0
KS,Blue Valley Unified School District 229,12,28,12,0,24,0,38,43
KS,Bonner Springs Unified School District 204,69,31,32,0,0,19,90,126
KS,Gardner Edgerton Unified School District 231,0,0,0,0,0,0,32,0
KS,Kansas City Unified School District 500,317,327,359,0,573,647,755,744
KS,Shawnee Mission Public Schools Unified School District,0,0,0,0,0,0,51,101
KS,Spring Hill Unified School District 230,11,0,0,0,0,0,0,20
KS,Turner Unified School District 202,39,121,130,133,146,99,132,185
KS,Piper,29,41,0,0,11,11,0,0
KS,Olathe,111,56,67,275,228,170,180,235
KS,De Soto,35,29,31,43,32,35,23,19
