State,District,2008,2009,2010,2011,2012,2013,2014,2015
MO,Blue Springs,5,10,15,5,5,9,9,10
MO,Center,6,10,2,8,5,8,4,1
MO,Clinton,1,1,0,1,0,0,0,0
MO,Excelsior Springs,7,3,6,1,3,3,4,0
MO,Fort Osage,0,0,0,2,3,0,1,0
MO,Grain Valley,1,1,1,2,1,0,0,1
MO,Grandview,3,2,1,0,2,2,0,0
MO,Hickman Mills,11,15,24,13,10,12,20,5
MO,Independence,43,28,32,17,22,9,16,5
MO,Kansas CIty Public Schools,91,46,14,40,58,52,46,41
MO,Kearney,3,3,5,2,0,0,1,1
MO,Lawson,0,0,0,0,0,0,1,0
MO,Lee's Summit,10,17,13,17,7,7,3,2
MO,Lone Jack,0,0,0,0,0,0,0,0
MO,North Kansas City,10,12,11,15,7,16,11,12
MO,North Platte,0,4,1,0,0,1,2,1
MO,Oak Grove,0,2,0,2,0,0,0,0
MO,Park Hill,28,18,17,2,17,12,6,9
MO,Platte,2,0,0,2,0,2,1,4
MO,Raytown,19,13,11,7,3,4,6,3
MO,Smithville,2,1,1,0,0,0,0,1
MO,West Platte,0,0,0,0,0,1,0,0
KS,Blue Valley Unified School District 229,0,0,0,0,0,0,0,0
KS,Bonner Springs Unified School District 204,0,0,0,0,0,0,0,0
KS,Gardner Edgerton Unified School District 231,0,0,0,0,0,,0,0
KS,Kansas City Unified School District 500,20,23,16,0,0,60,61,59
KS,Shawnee Mission Public Schools Unified School District,0,0,0,0,0,0,0,0
KS,Spring Hill Unified School District 230,0,0,0,0,0,0,0,0
KS,Turner Unified School District 202,0,0,10,0,10,0,0,0
KS,Piper,0,0,0,0,0,0,0,0
KS,Olathe,30,24,12,15,23,18,13,17
KS,De Soto,0,0,0,0,0,0,0,0
